timestamp,champion,level,current_gold,total_gold,xp,x,y,minions_killed,jungle_minions,damage_done,damage_taken,win,game_duration
0.0,Garen,1,500,500,0,603,611,0,0,0,0,0,2212
60.0,Garen,1,0,500,0,1153,11001,0,0,0,0,0,2212
120.0,Garen,2,243,743,558,2935,12705,8,0,128,159,0,2212
180.1,Garen,3,495,995,1129,2193,12217,13,0,641,1054,0,2212
240.2,Garen,5,819,1319,1793,3249,13000,23,0,913,1133,0,2212
300.2,Garen,5,2,1577,2351,394,461,31,0,913,1277,0,2212
360.2,Garen,6,244,1819,2667,2227,12649,36,0,913,1455,0,2212
420.2,Garen,7,474,2049,3300,2728,12388,40,0,1204,1770,0,2212
480.2,Garen,7,684,2259,3796,1430,11435,45,0,1466,2596,0,2212
540.3,Garen,8,1131,2706,4587,2724,13366,52,0,1466,3547,0,2212
600.3,Garen,9,2168,3743,5283,1849,13025,61,0,2694,3813,0,2212
660.3,Garen,9,468,3968,5781,3670,9974,67,0,2694,3867,0,2212
720.3,Garen,10,994,4494,7139,3427,13277,78,4,3820,4762,0,2212
780.3,Garen,11,2248,5748,8515,4590,11590,89,4,4497,6275,0,2212
840.3,Garen,12,3162,6662,9394,5022,13740,101,4,4892,6663,0,2212
900.4,Garen,12,139,6819,9394,4828,9484,102,4,5917,7355,0,2212
960.4,Garen,12,462,7312,9700,394,461,102,4,6448,9364,0,2212
1020.4,Garen,13,810,7660,10575,9140,5623,114,4,6448,9950,0,2212
1080.4,Garen,13,91,8216,11218,2635,4285,125,4,6448,10631,0,2212
1140.4,Garen,14,419,8544,11909,5583,12945,135,4,6448,10748,0,2212
1200.4,Garen,14,327,8852,12289,7622,1106,144,4,6705,11206,0,2212
1260.4,Garen,14,399,10173,12805,3217,11063,154,4,8013,11243,0,2212
1320.5,Garen,15,247,10422,13061,5129,4688,159,4,9178,11805,0,2212
1380.5,Garen,15,159,11184,13554,2343,1551,165,4,11260,13882,0,2212
1440.5,Garen,15,406,11431,14082,2916,11160,167,4,12531,14840,0,2212
1500.5,Garen,15,953,11978,14654,1791,11014,176,4,14423,15953,0,2212
1560.5,Garen,16,101,12226,14790,6025,6598,181,4,14423,15953,0,2212
1620.6,Garen,16,763,12887,15280,7087,4167,187,4,15135,15986,0,2212
1680.6,Garen,16,536,13161,15754,4728,3941,194,4,15135,16020,0,2212
1740.6,Garen,16,932,13556,16143,6250,1399,204,4,16144,16601,0,2212
1800.6,Garen,17,1213,13837,16541,3852,6032,211,4,16144,16601,0,2212
1860.6,Garen,17,1460,14085,17319,830,7132,219,4,16649,18453,0,2212
1920.7,Garen,17,1995,14619,18355,4925,5950,224,4,18939,21304,0,2212
1980.7,Garen,18,487,14761,18578,3132,7531,225,4,18939,21304,0,2212
2040.7,Garen,18,1793,16067,18854,3590,10242,225,4,20847,25468,0,2212
2100.7,Garen,18,1415,16190,18854,1715,6244,225,4,20847,25468,0,2212
2160.7,Garen,18,1663,16437,19240,4592,6837,225,4,22594,25468,0,2212
2212.7,Garen,18,1268,16542,19240,7494,3266,225,4,22909,30360,0,2212
0.0,Garen,1,500,500,0,14103,14195,0,0,0,0,0,1498
60.0,Garen,1,0,500,0,3338,13254,0,0,0,0,0,1498
120.0,Garen,2,187,687,496,2363,12534,4,0,605,693,0,1498
180.0,Garen,4,439,939,1160,1641,12460,12,0,914,1126,0,1498
240.0,Garen,5,217,1617,1967,12787,14272,24,0,1155,1250,0,1498
300.1,Garen,6,455,1855,2401,2934,12790,31,0,1628,2027,0,1498
360.1,Garen,6,699,2099,2897,2063,11785,38,0,2026,2403,0,1498
420.1,Garen,7,1609,3009,3838,1207,10464,49,0,2908,3227,0,1498
480.1,Garen,8,211,3261,4301,2130,12778,57,0,3175,3368,0,1498
540.2,Garen,8,348,3398,4456,2896,12844,58,0,3248,4800,0,1498
600.2,Garen,8,727,3777,4965,4088,13967,64,0,4014,6231,0,1498
660.2,Garen,9,999,4049,5647,1531,11314,73,0,4202,6664,0,1498
720.2,Garen,10,1342,4392,6853,2216,13353,84,0,4557,7250,0,1498
780.2,Garen,11,1671,4721,7565,3077,13006,94,0,4782,7515,0,1498
840.3,Garen,11,392,4892,7879,3736,13634,97,0,5101,9459,0,1498
900.3,Garen,12,836,5336,8591,3274,12806,109,0,5824,10171,0,1498
960.3,Garen,12,58,5458,8661,5904,13656,109,0,6597,11892,0,1498
1020.3,Garen,12,1162,6562,9830,6155,13682,122,0,8484,12710,0,1498
1080.3,Garen,13,133,6978,10472,12045,13297,132,0,8484,13158,0,1498
1140.3,Garen,13,866,7711,11324,7369,13466,141,0,10765,14842,0,1498
1200.4,Garen,14,1738,8583,12440,1016,12107,157,0,11836,15864,0,1498
1260.4,Garen,14,422,8942,12956,8716,8616,159,0,13053,18102,0,1498
1320.4,Garen,15,309,9279,13459,7605,13295,170,0,13053,18496,0,1498
1380.4,Garen,15,580,9550,13854,9952,8764,171,0,15688,20887,0,1498
1440.4,Garen,15,703,9673,13854,12290,5518,171,0,17079,23042,0,1498
1498.7,Garen,15,141,9911,14155,14340,14391,171,0,17351,23442,0,1498
0.0,Garen,1,500,500,0,603,611,0,0,0,0,1,1979
60.0,Garen,1,0,500,0,922,10191,0,0,0,0,1,1979
120.0,Garen,2,173,673,403,1534,11139,3,0,123,509,1,1979
180.2,Garen,4,501,1001,1191,2266,12087,13,0,276,723,1,1979
240.2,Garen,5,1049,1549,1757,3274,13126,17,0,822,1681,1,1979
300.2,Garen,5,112,1787,2067,2110,12342,24,0,822,1739,1,1979
360.2,Garen,6,482,2157,2762,1632,11609,36,0,822,2135,1,1979
420.2,Garen,7,707,2382,3395,2207,12068,42,0,1280,2952,1,1979
480.2,Garen,8,1569,3244,4261,394,461,51,0,2176,3193,1,1979
540.2,Garen,8,495,3545,4708,2502,11521,60,0,2503,3596,1,1979
